,Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m,Fmr %,Cmr %,rmr %
43,Blesbok,111.31,13.402,30.006,570670000.0,2401000000.0,86400000.0,84500.0,0.7194379451647512,0.0866221124885275,0.1939399423467211
44,Greater kudu,213.37,31.776,61.716,762000000.0,4042000000.0,106500000.0,217500.0,0.69532884488793,0.10355143354341691,0.201119721568653
45,Long-tailed macaque,36.226,5.642,4.294,800960000.0,2572000000.0,65440000.0,6363.0,0.7847580260820588,0.12222174082578745,0.09302023309215371
46,Brown capuchin,39.178,4.6,8.43,1140000000.0,2490000000.0,61850000.0,2643.0,0.7504213913576463,0.08810910205332516,0.1614695065890285
47,Common squirrel monkey,20.652,4.3,5.004,1340000000.0,1820000000.0,65530000.0,925.0,0.6894111363332888,0.14354386433435704,0.1670449993323541
48,Bonnet macaque,48.274,5.748,7.448,1655000000.0,2038000000.0,61350000.0,6755.0,0.7853261753700993,0.09350902879453392,0.12116479583536685
49,Rhesus macaque,69.832,7.694,9.204,1710000000.0,4550000000.0,121900000.0,8235.0,0.8051654560129137,0.08871209500749454,0.10612244897959186
50,Giraffe,398.808,67.73,70.68,1731000000.0,8878000000.0,142600000.0,800000.0,0.7423578510027585,0.12607544795595083,0.1315667010412905
51,Harbour porpoise,382.77,106.14,74.62,2770000000.0,23400000000.0,114000000.0,52500.0,0.6792362429684311,0.1883484464003691,0.13241531063119977
52,Yellow baboon,120.214,13.745,17.235,2875000000.0,7794000000.0,278100000.0,20000.0,0.7950976890617352,0.09090969218355224,0.11399261875471248
53,African elephant,2847.0,1171.0,564.0,5593000000.0,250700000000.0,741000000.0,4800000.0,0.6213443910955915,0.25556525534701,0.12309035355739852
54,Human,1232.0,154.02,117.669,16340000000.0,69030000000.0,690000000.0,62035.0,0.8193183563888543,0.10242809517127545,0.0782535484398702
