Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m
Mute swan,08.06,2.097,2.455,"323,661,000","607,105,000","24,867,000",9845
Greater rhea,12.61,3.066,4.461,"330,342,000","610,090,000","52,994,000",31900
Eastern rosella,1.705,0.23,0.781,"333,000,000","212,000,000","97,000,000",104
Common buzzard,4.22,1.052,1.826,"351,700,000","510,277,000","88,187,000",749
Eurasian pygmy owl,2.21,0.228,0.435,"364,000,000","127,650,000","27,538,000",67.2
Monk parakeet,2.24,0.281,0.9,"396,000,000","195,000,000","105,000,000",81.7
Springbok,68.806,11.458,25.81,"396,900,000","2,257,000,000","70,400,000",39000
Black vulture,5.93,1.3985,1.749,"398,899,000","512,097,000","45,765,000",1747
Little owl,2.99,0.3585,0.668,"400,822,000","134,013,000","35,139,000",169.56
Barn owl,3.852,0.51,1.255,"437,000,000","214,000,000","37,000,000",580
Raccoon,24.491,3.338,6.357,"437,940,000","1,646,000,000","48,570,000",6000
Emu,12.979,3.399,5.434,"439,000,000","814,000,000","81,000,000",38925
Three-striped night monkey,10.617,1.732,3.104,"441,900,000","1,040,000,000","49,340,000",800
Saker falcon,4.12,1.1971,1.504,"442,946,000","645,740,000","74,998,000",1006
Eurasian magpie,3.714,0.453,1.258,"443,000,000","349,000,000","104,000,000",178
Common ostrich,25.58,5.8009,6.452,"479,410,000","1,059,572,000","42,629,000",120050
Western jackdaw,4.165,0.483,1.376,"492,000,000","375,000,000","100,000,000",246
Striped hyena,67.45,14.032,17.732,"495,280,000","3,330,000,000","55,490,000",40000
Domestic dog,65.491,7.512,13.459,"527,910,000","1,676,000,000","48,150,000",40000
Eurasian jay,2.854,0.411,1.331,"529,000,000","429,000,000","127,000,000",159.7
White-tailed eagle,12.54,2.3578,3.113,"542,926,000","983,667,000","81,285,000",5228.2
Lion,139.902,24.882,34.162,"545,240,000","4,049,000,000","72,040,000",175000
Blesbok,111.31,13.402,30.006,"570,670,000","2,401,000,000","86,400,000",84500
Alexandrine parakeet,3.657,0.506,1.537,"575,000,000","361,000,000","160,000,000",255
Tanimbar corella,5.502,0.571,2.202,"599,000,000","413,000,000","148,000,000",275
Long-eared owl,3.84,0.4746,0.854,"673,000,000","261,386,000","35,852,000",248.06
Greater kudu,213.37,31.776,61.716,"762,000,000","4,042,000,000","106,500,000",217500
Long-tailed macaque,36.226,5.642,4.294,"800,960,000","2,572,000,000","65,440,000",6363
Rook,5.769,0.657,1.931,"820,000,000","536,000,000","152,000,000",453.5
Grey parrot,5.941,0.638,2.249,"850,000,000","387,000,000","328,000,000",333
Sulphur-crested cockatoo,6.767,0.836,2.528,"1,135,000,000","588,000,000","398,000,000",800
Brown capuchin,39.178,4.6,8.43,"1,140,000,000","2,490,000,000","61,850,000",2643
Tawny owl,6.49,0.6228,1.318,"1,153,000,000","334,017,000","57,050,000",549.67
Raven,10.195,1.145,2.794,"1,204,000,000","753,000,000","213,000,000",1041
Snowy owl,13.48,1.2854,2.163,"1,270,000,000","452,880,000","50,027,000",1770
Kea,9.483,0.825,3.284,"1,281,000,000","481,000,000","386,000,000",867.5
Eurasian eagle-owl,11.72,1.2078,2.081,"1,328,000,000","471,871,000","58,383,000",2342.33
Common squirrel monkey,20.652,4.3,5.004,"1,340,000,000","1,820,000,000","65,530,000",925
Bonnet macaque,48.274,5.748,7.448,"1,655,000,000","2,038,000,000","61,350,000",6755
Rhesus macaque,69.832,7.694,9.204,"1,710,000,000","4,550,000,000","121,900,000",8235
Giraffe,398.808,67.73,70.68,"1,731,000,000","8,878,000,000","142,600,000",800000
Blue and yellow macaw,14.377,1.245,5.109,"1,916,000,000","633,000,000","585,000,000",1030
Harbour porpoise,382.77,106.14,74.62,"2,770,000,000","23,400,000,000","114,000,000",52500
Yellow baboon,120.214,13.745,17.235,"2,875,000,000","7,794,000,000","278,100,000",20000
African elephant,2847,1171,564,"5,593,000,000","250,700,000,000","741,000,000",4800000
Human,1232,154.02,117.669,"16,340,000,000","69,030,000,000","690,000,000",62035
