Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m
Mandarin duck,Anseriformes,Anatidae,2.244,0.432,3.763,"149,709,000","168,231,000","354,952,000",529.045
Cape Barren goose,Anseriformes,Anatidae,4.866,1.073,7.909,"160,216,000","276,278,000","462,304,000",5204.75
Crested duck,Anseriformes,Anatidae,2.857,0.666,4.935,"160,907,000","312,544,000","517,733,000",823.6
Eurasian teal,Anseriformes,Anatidae,1.62,0.3163,2.768,"167,287,000","163,461,000","373,436,000",284.85
White-cheeked pintail,Anseriformes,Anatidae,2.246,0.465,3.761,"168,674,000","213,112,000","420,382,000",458.4
Northern shoveler,Anseriformes,Anatidae,2.017,0.453,3.427,"181,830,000","246,016,000","479,524,000",621.15
American kestrel,Falconiformes,Falconidae,1.315,0.308,2.376,"182,502,000","214,534,000","469,942,000",108.02
Red-legged seriema,Cariamiformes,Cariamidae,4.546,1.109,8.514,"219,569,000","529,815,000","855,128,000",1732.3
Western marsh harrier,Accipitriformes,Accipitridae,2.824,0.661,5.234,"224,467,000","352,456,000","687,877,000",478.5
Common starling,Passeriformes,Sturnidae,1.144,0.193,1.855,"226,000,000","193,000,000","482,505,000",74
Northern goshawk,Accipitriformes,Accipitridae,3.931,1.186,7.568,"228,227,000","472,933,000","813,468,000",800.6
Common kestrel,Falconiformes,Falconidae,1.88,0.5032,3.476,"237,903,000","312,406,000","624,582,000",204.33
Muscovy duck,Anseriformes,Anatidae,4.235,0.768,7.076,"248,163,000","211,760,000","520,116,000",2009.3
Cockatiel,Psittaciformes,Cacatuidae,1.368,0.196,2.205,"258,000,000","129,000,000","452,766,000",90
Greylag goose,Anseriformes,Anatidae,6.71,1.226,10.829,"258,650,000","420,729,000","735,359,000",2943.93
Steppe eagle,Accipitriformes,Accipitridae,7.15,1.697,12.279,"288,470,000","682,506,000","1,106,000,000",3350
Black kite,Accipitriformes,Accipitridae,3.715,0.876,6.622,"301,980,000","426,176,000","825,990,000",835.7
Mute swan,Anseriformes,Anatidae,8.06,2.097,13.663,"323,661,000","607,105,000","1,001,000,000",9845
Greater rhea,Struthioniformes,Rheidae,12.61,3.066,21.335,"330,342,000","610,090,000","1,030,000,000",31900
Eastern rosella,Psittaciformes,Psittacidae,1.705,0.23,2.716,"333,000,000","212,000,000","641,879,000",104
Common buzzard,Accipitriformes,Accipitridae,4.22,1.052,7.795,"351,700,000","510,277,000","1,001,000,000",749
Eurasian pygmy owl,Strigiformes,Strigidae,2.21,0.228,3.02,"364,000,000","127,650,000","533,263,000",67.2
Canada goose,Anseriformes,Anatidae,6.315,1.181,9.832,"379,833,000","440,299,000","913,484,000",4219.167
Swan goose,Anseriformes,Anatidae,6.3,1.218,10.045,"381,096,000","445,189,000","917,876,000",4002.9
Eurasian scops owl,Strigiformes,Strigidae,1.193,0.203,1.896,"385,088,000","133,901,000","570,997,000",114.09
Monk parakeet,Psittaciformes,Psittacidae,2.24,0.281,3.42,"396,000,000","195,000,000","696,765,000",81.7
Peregrine falcon,Falconiformes,Falconidae,3.787,1.062,6.776,"396,060,000","548,548,000","1,060,000,000",672.8
Black vulture,Accipitriformes,Cathartidae,5.93,1.3985,9.967,"398,899,000","512,097,000","1,009,000,000",1747
Azure-winged magpie,Passeriformes,Corvidae,2.218,0.271,3.393,"399,695,000","243,490,000","740,589,000",84.11
Little owl,Strigiformes,Strigidae,2.99,0.3585,4.259,"400,822,000","134,013,000","585,923,000",169.56
Common hill myna,Passeriformes,Sturnidae,2.161,0.367,3.67,"410,330,000","365,738,000","906,127,000",262.075
Barn owl,Strigiformes,Tytonidae,3.852,0.51,5.209,"437,000,000","214,000,000","739,740,000",580
Emu,Casuariiformes,Casuariidae,12.979,3.399,21.811,"439,000,000","814,000,000","1,335,000,000",38925
Saker falcon,Falconiformes,Falconidae,4.12,1.1971,7.315,"442,946,000","645,740,000","1,204,000,000",1006
Eurasian magpie,Passeriformes,Corvidae,3.714,0.453,5.425,"443,000,000","349,000,000","897,274,000",178
Common ostrich,Struthioniformes,Struthionidae,25.58,5.8009,40.249,"479,410,000","1,059,572,000","1,629,000,000",120050
Western jackdaw,Passeriformes,Corvidae,4.165,0.483,6.023,"492,000,000","375,000,000","967,985,000",246
Eurasian jay,Passeriformes,Corvidae,2.854,0.411,4.597,"529,000,000","429,000,000","1,085,000,000",159.7
White-tailed eagle,Accipitriformes,Accipitridae,12.54,2.3578,19.515,"542,926,000","983,667,000","1,654,000,000",5228.2
Alexandrine parakeet,Psittaciformes,Psittaculidae,3.657,0.506,5.699,"575,000,000","361,000,000","1,096,000,000",255
Tanimbar corella,Psittaciformes,Cacatuidae,5.502,0.571,8.275,"599,000,000","413,000,000","1,161,000,000",275
Striated caracara,Falconiformes,Falconidae,6.847,1.136,10.609,"663,372,000","592,281,000","1,411,000,000",1426.6
Boreal owl,Strigiformes,Strigidae,2.902,0.349,4.084,"663,908,000","206,170,000","925,101,000",113.12
Long-eared owl,Strigiformes,Strigidae,3.84,0.4746,5.445,"673,000,000","261,386,000","991,310,000",248.06
Rook,Passeriformes,Corvidae,5.769,0.657,8.357,"820,000,000","536,000,000","1,509,000,000",453.5
Morepork,Strigiformes,Strigidae,3.846,0.515,5.535,"823,855,000","280,175,000","1,171,000,000",274.9
Grey parrot,Psittaciformes,Psittacidae,5.941,0.638,8.827,"850,000,000","387,000,000","1,566,000,000",333
Sulphur-crested cockatoo,Psittaciformes,Cacatuidae,6.767,0.836,10.131,"1,135,000,000","588,000,000","2,122,000,000",800
Tawny owl,Strigiformes,Strigidae,6.49,0.6228,8.853,"1,153,000,000","334,017,000","1,581,000,000",549.67
Raven,Passeriformes,Corvidae,10.195,1.145,14.135,"1,204,000,000","753,000,000","2,171,000,000",1041
Snowy owl,Strigiformes,Strigidae,13.48,1.2854,17.752,"1,270,000,000","452,880,000","1,808,000,000",1770
Kea,Psittaciformes,Nestoridae,9.483,0.825,13.592,"1,281,000,000","481,000,000","2,149,000,000",867.5
Northern hawk-owl,Strigiformes,Strigidae,5.311,0.554,7.353,"1,308,000,000","299,621,000","1,710,000,000",300.4
Eurasian eagle-owl,Strigiformes,Strigidae,11.72,1.2078,15.766,"1,328,000,000","471,871,000","1,898,000,000",2342.33
Great grey owl,Strigiformes,Strigidae,10.969,1.025,14.37,"1,700,000,000","495,827,000","2,299,000,000",1013.3
Blue and yellow macaw,Psittaciformes,Psittacidae,14.377,1.245,20.73,"1,916,000,000","633,000,000","3,136,000,000",1030
