Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,,notes
,,,,,,,,,for mammals and birds forebrain includes pallium for reptiles entire telencephalon because palil count are not available
Karsten's Girdled Lizard,0.1091,0.0050,0.21,"5,429,000","1,191,000","9,538,000",58.78,,
Corn Snake,0.1504,0.0027,0.26,"5,437,000","635,000","10,629,000",584.00,,
Little free-tailed bat,0.084,0.036,0.208,"5,632,000","25,324,000","34,958,000",5.4,,
Chinese Water Dragon,0.1995,0.0182,0.49,"5,634,000","3,745,000","18,301,000",254.80,,
Sunbeam Snake,0.1125,0.0014,0.17,"5,802,000","314,000","9,293,000",178.00,,
Tenerife Lizard,0.0886,0.0026,0.15,"5,824,000","1,328,000","10,903,000",42.88,,
Rufous trident bat,0.093,0.072,0.251,"6,039,000","59,651,000","69,763,000",13.7,,
Eastern Giant Stump-toed Gecko,0.1196,0.0057,0.20,"6,064,000","2,611,000","12,388,000",30.17,,
Common bent-wing bat,0.0858,0.0485,0.219,"6,116,000","44,447,000","55,659,000",11.6,,
Naked mole-rat,0.184,0.048,0.392,"6,150,000","15,740,000","26,880,000",35.3,,
Frill-Necked Lizard,0.1894,0.0238,0.47,"6,275,000","3,201,000","18,641,000",547.90,,
Western Whiptail,0.0726,0.0036,0.14,"6,277,000","2,566,000","12,269,000",17.10,,
Northern Snake-Necked Turtle,0.5860,0.0474,0.92,"6,409,000","8,375,000","19,040,000",1747.00,,
White-Lipped Mud Turtle,0.2250,0.0095,0.30,"6,445,000","3,036,000","12,671,000",230.20,,
Red-Bellied Short-Necked Turtle,0.2787,0.0288,0.43,"6,709,000","5,895,000","15,787,000",725.70,,
Western Rainbow Boa,0.1975,0.0056,0.28,"6,739,000","494,000","11,083,000",387.00,,
Indochinese Spitting Cobra,0.2286,0.0040,0.38,"7,063,000","559,000","11,306,000",1082.50,,
Common Snapping Turtle,0.5762,0.0302,0.90,"7,091,000","3,387,000","13,681,000",3313.80,,
Twist-Necked Turtle,0.2730,0.0102,0.37,"7,351,000","2,001,000","12,171,000",262.60,,
Painted Wood Turtle,0.1906,0.0127,0.27,"7,406,000","3,294,000","12,677,000",222.80,,
Ocellated Llizard,0.1345,0.0048,0.25,"7,453,000","1,445,000","14,593,000",211.00,,
African Spurred Tortoise,0.5433,0.0545,0.87,"7,473,000","4,681,000","14,986,000",11318.00,,
Standing´s Day Gecko,0.0972,0.0037,0.18,"7,484,000","1,659,000","13,223,000",55.00,,
Red-Eared Slider,0.4002,0.0367,0.59,"7,540,000","4,253,000","15,388,000",1053.00,,
Commerson's roundleaf bat,0.243,0.107,0.588,"7,877,000","51,875,000","66,719,000",101.9,,
Painted Turtle,0.2423,0.0188,0.37,"7,924,000","3,743,000","14,302,000",367.00,,
Chinese Softshell Turtle,0.3938,0.0498,0.62,"8,569,000","7,901,000","20,697,000",879.80,,
Spiny Tail Dwarf Monitor,0.1505,0.0123,0.35,"9,033,000","3,960,000","19,771,000",308.70,,
European Glass Lizard,0.2224,0.0035,0.33,"9,247,000","456,000","12,830,000",332.00,,
Smoky shrew,0.084,0.02,0.176,"9,730,000","20,870,000","36,460,000",7.5,,
Ansell's mole-rat,0.301,0.207,1.25,"9,730,000","75,440,000","102,820,000",93.45,,
Central American Boa Constrictor,0.2369,0.0036,0.37,"9,877,000","506,000","15,194,000",1851.30,,
Blue-Tongued Skink,0.2530,0.0065,0.42,"9,884,000","1,461,000","16,376,000",508.90,,
Weber's Sailfin Lizard,0.4103,0.0465,0.96,"10,033,000","7,445,000","27,245,000",898.50,,
Heart-nosed bat,0.257,0.103,0.562,"10,221,000","63,792,000","81,331,000",26,,
Short-palated fruit bat,0.461,0.127,0.892,"10,471,000","77,445,000","99,016,000",27,,
Gran Canaria Giant Lizard,0.2515,0.0072,0.40,"11,478,000","2,114,000","18,038,000",369.80,,
Alligator Snapping Turtle,1.1149,0.0358,1.47,"11,651,000","5,614,000","22,230,000",9026.00,,
Common mole-rat,0.19,0.125,0.85,"11,730,000","68,810,000","96,240,000",68.58,,
Amazon Tree Boa,0.2094,0.0048,0.30,"11,801,000","570,000","16,303,000",493.00,,
Giant Ameiva,0.2164,0.0098,0.37,"11,873,000","2,230,000","19,835,000",93.56,,
Northern short-tailed shrew,0.197,0.037,0.347,"11,876,000","33,430,000","55,190,000",21.6,,
Woermann's bat,0.309,0.079,0.55,"11,897,000","49,734,000","65,728,000",17.9,,
Amboina Box Turtle,0.5185,0.0301,0.70,"12,316,000","5,329,000","21,440,000",1346.00,,
Mashona mole-rat,0.281,0.162,1.23,"12,490,000","84,910,000","113,350,000",115.19,,
Gold Tegu,0.3737,0.0296,0.74,"12,814,000","6,571,000","31,335,000",267.60,,
Zenker's fruit bat,0.323,0.085,0.588,"12,847,000","47,217,000","65,595,000",16.1,,
Argentine Black And White Tegu,0.6166,0.0341,1.11,"13,399,000","3,560,000","29,251,000",914.00,,
Mata Mata,0.5560,0.0388,0.88,"13,406,000","6,252,000","26,105,000",3855.70,,
Common Boa,0.4479,0.0058,0.64,"13,555,000","428,000","19,781,000",11900.00,,
House mouse,0.173,0.056,0.402,"13,690,000","42,220,000","67,870,000",20.5,,
Green Iguana,0.5223,0.0585,1.25,"13,837,000","5,738,000","29,098,000",4567.00,,
Sudan Plated Lizard,0.2983,0.0133,0.54,"13,955,000","2,598,000","24,434,000",262.60,,
Namaqua dove,0.24,0.087,0.555,"14,167,000","59,533,000","94,490,000",31.85,,
Cuban Rock Iguana,0.8803,0.0554,1.75,"14,188,000","8,123,000","30,820,000",2788.00,,
Major Skink,0.2671,0.0094,0.43,"14,640,000","2,804,000","24,155,000",267.70,,
Hairy-tailed mole,0.429,0.102,0.759,"15,690,000","100,780,000","123,600,000",62.5,,
Mexican Beaded Lizard,0.7620,0.0183,0.93,"15,814,000","2,956,000","23,681,000",1113.5,,
Yellow Anaconda,0.4917,0.0105,0.68,"16,792,000","1,549,000","23,035,000",6151.00,,
Golden hamster,0.446,0.145,0.965,"17,140,000","61,210,000","84,220,000",105,,
Star-nosed mole,0.42,0.138,0.802,"17,250,000","105,920,000","131,300,000",55.3,,
Cryptomys Natalensis,0.333,0.181,1.24,"17,460,000","109,750,000","149,980,000",99.02,,
Common ground dove,0.246,0.075,0.572,"17,602,000","51,380,000","89,630,000",35.277,,
Blue Tree Monitor,0.4538,0.0389,0.79,"18,001,000","7,665,000","33,091,000",400.00,,
Diamond dove,0.24,0.0776,0.545,"18,209,000","54,101,000","87,879,000",39.93,,
Brown four-eyed opossum,0.992,0.342,2.008,"20,190,000","134,130,000","165,590,000",407,,
Grey slender mouse opossum,0.408,0.158,0.91,"20,410,000","82,400,000","112,050,000",100,,
King quail,0.22,0.0717,0.521,"20,523,000","42,945,000","80,478,000",43.81,,
Highveld mole-rat,0.326,0.195,1.35,"20,560,000","120,580,000","169,160,000",104.27,,
Damaraland mole-rat,0.322,0.208,1.39,"21,270,000","129,960,000","178,300,000",110.53,,
Hottentot golden mole,0.439,0.084,0.812,"21,516,000","34,488,000","65,074,000",79,,
Grey mouse lemur,0.908,0.391,1.799,"22,310,000","221,380,000","254,710,000",64.8,,
Franquet's epauletted fruit bat,1.04,0.286,2.044,"22,533,000","150,660,000","186,002,000",120,,
Common quail,0.36,0.109,0.787,"22,568,000","75,198,000","117,760,000",94.86,,
Mechow's mole-rat,0.65,0.405,2.15,"23,320,000","122,640,000","174,240,000",270.16,,
Pig-Nosed Turtle,2.2920,0.1768,2.70,"24,047,000","22,455,000","53,027,000",2940.00,,
Hammer-headed bat,1.805,0.456,3.459,"24,343,000","221,298,000","274,519,000",310,,
Silvery mole-rat,0.473,0.223,1.65,"25,440,000","94,820,000","147,940,000",180.51,,
Cape mole-rat,0.415,0.259,1.65,"25,600,000","116,740,000","169,670,000",155.09,,
Eastern rock elephant shrew,0.471,0.168,1.04,"25,865,000","89,312,000","129,191,000",45.1,,
Cayenne spiny rat,0.924,0.33,2.078,"26,090,000","162,510,000","202,090,000",356.5,,
Wahlberg's epauletted fruit bat,0.634,0.193,1.224,"26,201,000","121,136,000","161,755,000",74,,
Gould´s Monitor,1.0624,0.1070,2.19,"26,465,000","13,100,000","50,253,000",6605.30,,
Eastern mole,0.476,0.153,0.999,"26,680,000","158,550,000","203,500,000",90,,
Common emerald dove,0.494,0.176,1.126,"27,148,000","109,818,000","168,489,000",119.64,,
Egyptian fruit bat,0.985,0.219,1.778,"28,859,000","132,436,000","172,232,000",120,,
Nile Crocodile,3.8150,0.4430,5.81,"29,947,000","39,857,000","81,535,000",71667.00,,
Brown rat,0.769,0.272,1.724,"31,020,000","139,170,000","188,870,000",300,,
Four-toed elephant shrew,1.239,0.304,2.44,"33,947,000","110,650,000","156,830,000",210,,
Common bronzewing,0.869,0.257,1.848,"34,077,000","145,208,000","216,703,000",306.025,,
Pink-necked green pigeon,0.645,0.2,1.339,"34,357,000","114,792,000","174,476,000",128.85,,
Grey partridge,0.74,0.2071,1.565,"36,882,000","107,546,000","170,287,000",337.33,,
Yellow-rumped tinkerbird,0.2247 ,0.07,0.47,"37,925,000","62,830,000","118,030,000",11.2,,
Ferret,3.123,0.92,5.429,"38,950,000","351,260,000","404,430,000",809,,
Northern bobwhite,0.51,0.1471,1.124,"39,112,000","80,021,000","148,399,000",181.08,,
African collared dove,0.51,0.1404,1.077,"39,997,000","72,381,000","139,271,000",137.25,,
Asian Water Monitor,1.2639,0.0979,2.27,"41,365,000","17,572,000","78,231,000",3883.00,,
Big-eared opossum,2.136,0.778,4.292,"42,500,000","334,260,000","392,500,000",1200,,
Least honeyguide,0.196 ,0.093,0.451,"43,099,000","85,900,000","150,730,000",15,,
Cape dune mole-rat,1.047,0.708,3.78,"43,480,000","268,890,000","361,290,000",907.82,,
Guinea pig,1.938,0.5,3.656,"43,510,000","167,850,000","233,560,000",728,,
White-eared barbet,0.18546 ,0.057,0.393,"43,553,000","55,610,000","116,970,000",9.9,,
Silver-tipped imperial pigeon,1.449,0.434,2.915,"47,331,000","210,346,000","293,494,000",456.4,,
Quebrach crested tinamou,0.88,0.2526,1.84,"48,292,000","146,230,000","235,671,000",475.75,,
Lesser honeyguide,0.272 ,0.128,0.636,"48,925,000","107,980,000","180,460,000",26.5,,
Red-legged partridge,1.055,0.243,2.091,"50,185,000","108,889,000","197,176,000",459.667,,
Common wood pigeon,1.28,0.4016,2.671,"51,325,000","164,834,000","258,681,000",468.33,,
Elegant crested tinamou,1,0.2734,1.996,"51,384,000","129,548,000","217,768,000",502.95,,
Eurasian blackcap,0.454,0.084,0.774,"52,000,000","76,000,000","156,728,000",16.7,,
California quail,0.607,0.194,1.256,"52,490,000","92,319,000","172,388,000",199.6,,
Speckled pigeon,0.897,0.316,1.944,"53,884,000","161,142,000","258,217,000",262.94,,
Prairie dog,2.586,0.789,5.321,"53,768,000","350,085,000","437,944,000",1515,,
Tetrao tetrix,1.562,0.48,3.375,"54,079,000","176,651,000","280,868,000",897.8,,
Black francolin,0.825,0.224,1.755,"54,209,000","139,932,000","232,541,000",368.6,,
Zebra finch,0.277,0.056,0.494,"55,000,000","56,000,000","135,976,000",12,,
Black-naped fruit dove,0.692,0.203,1.447,"55,673,000","115,880,000","205,810,000",99.55,,
Chilean tinamou,0.82,0.2376,1.744,"59,130,000","136,461,000","241,374,000",388.7,,
Luzon bleeding-heart,0.688,0.221,1.569,"59,161,000","134,425,000","236,600,000",199.2,,
Red junglefowl,1.335,0.369,2.819,"60,000,000","114,000,000","220,840,000",779.8,,
Common tree shrew,1.455,0.326,2.752,"60,390,000","185,280,000","261,400,000",200,,
Goldcrest,0.176,0.04,0.357,"64,000,000","66,000,000","163,874,000",5.6,,
Eurpean roller,1.05,0.263,1.993,"67,569,000","160,010,000","269,070,000",142.7,,
European rabbit,4.448,1.412,9.132,"71,450,000","396,670,000","494,200,000",1800,,
Rock dove,0.915,0.332,2.095,"72,000,000","197,000,000","309,958,000",358.7,,
Common pheasant,1.898,0.451,3.845,"76,278,000","194,341,000","321,361,000",1221.667,,
Eastern grey squirrel,2.73,0.874,5.548,"77,330,000","342,830,000","453,660,000",533,,
Reeves's pheasant,1.7,0.5158,3.691,"80,688,000","245,720,000","387,173,000",1119,,
Great tit,0.58,0.09,0.94,"83,000,000","108,000,000","225,982,000",17.9,,
Yellow-spotted barbet,0.5959,0.154,1.145,"83,148,000","125,800,000","245,290,000",42.8,,
Speckled mousebird,0.759,0.132,1.273,"84,175,000","87,600,000","200,660,000",58.5,,
Eurasian wryneck,0.452,0.108,0.84,"85,387,000","104,730,000","214,740,000",34.6,,
Eurasian sparrowhawk,1.28,0.4795,2.739,"87,832,000","253,630,000","401,751,000",162.4,,
Western tree hyrax,7.56,1.918,12.8,"98,960,000","360,929,000","504,573,000",1150,,
Green-rumped parrotled,0.715,0.098,1.146,"103,000,000","89,600,000","227,204,000",24,,
Wild turkey,2.89,0.8564,6.041,"105,654,000","315,741,000","492,873,000",3453.33,,
Bearded barbet,0.825,0.243,1.656,"108,595,000","201,250,000","358,410,000",102.6,,
Black-rumped agouti*,8.913,2.742,17.628,"110,640,000","673,490,000","827,330,000",2843.3,,
Mallard,3.6,0.6496,5.541,"112,255,000","220,314,000","367,466,000",1361.67,,
Australian wood duck,2.282,0.597,4.007,"112,604,000","245,364,000","390,858,000",613.8,,
Eurasian wigeon,2.462,0.45,3.973,"113,159,000","151,783,000","285,523,000",636.8,,
Banded mongoose,9.29,1.548,14.292,"115,770,000","315,740,000","454,020,000",1332,,
Victoria crowned pigeon,2.94,0.8918,5.899,"118,445,000","405,518,000","578,697,000",1375.4,,
Ruddy shelduck,2.805,0.829,5.273,"119,202,000","264,298,000","421,445,000",1257.967,,
Tasmanian devil*,5.228,1.434,9.802,"122,600,000","601,070,000","744,640,000",8200,,
Yellow-Knobbed Curassow,4.92,1.184,9.02,"124,624,000","472,677,000","652,989,000",2448.6,,
Baikal teal,1.891,0.413,3.244,"129,036,000","151,217,000","300,240,000",449.05,,
Indian peafowl,3.15,0.8543,6.194,"129,621,000","374,518,000","570,934,000",3599.2,,
Lake duck,2.304,0.445,3.872,"129,874,000","112,566,000","300,059,000",551.15,,
Marbled duck,2.04,0.433,3.503,"130,142,000","213,841,000","386,920,000",452.2,,
Pygmy falcon,0.86,0.2106,1.628,"131,898,000","155,402,000","350,367,000",63.91,,
Helmeted guineafowl,1.852,0.494,3.747,"132,459,000","253,934,000","447,116,000",1703.9,,
Wandering whistling duck,2.701,0.616,4.533,"134,286,000","220,818,000","398,626,000",806.95,,
Parma wallaby,9.914,1.69,15.714,"135,620,000","558,080,000","711,130,000",4268,,
Common blackbird,1.091,0.213,1.887,"136,000,000","186,000,000","379,413,000",103.2,,
Eurasian hoopoe,0.8365,0.138,1.36,"136,377,000","107,450,000","265,520,000",60,,
Wood duck,2.26,0.4028,3.853,"138,206,000","133,108,000","305,816,000",649.3,,
Smew,2.108,0.542,3.717,"140,265,000","256,227,000","438,961,000",513.55,,
Red kite,3.831,0.863,6.568,"145,561,000","403,410,000","639,483,000",843.4,,
Montagu's harrier,2.218,0.644,4.361,"148,326,000","348,250,000","577,353,000",243,,
Red-breasted goose,2.7,0.7371,4.788,"148,617,000","285,407,000","482,705,000",1042.3,,
Budgerigar,0.775,0.144,1.317,"149,000,000","119,000,000","321,822,000",30,,
Mandarin duck,2.244,0.432,3.763,"149,709,000","168,231,000","354,952,000",529.045,,
Cape Barren goose,4.866,1.073,7.909,"160,216,000","276,278,000","462,304,000",5204.75,,
Crested duck,2.857,0.666,4.935,"160,907,000","312,544,000","517,733,000",823.6,,
Laughing kookaburra,2.624,0.496,4.608,"163,203,000","244,330,000","511,800,000",380.5,,
Eurasian teal,1.62,0.3163,2.768,"167,287,000","163,461,000","373,436,000",284.85,,
White-cheeked pintail,2.246,0.465,3.761,"168,674,000","213,112,000","420,382,000",458.4,,
Northern shoveler,2.017,0.453,3.427,"181,830,000","246,016,000","479,524,000",621.15,,
American kestrel,1.315,0.308,2.376,"182,502,000","214,534,000","469,942,000",108.02,,
Rock hyrax,10.478,2.058,16.853,"197,930,000","488,370,000","755,650,000",3600,,
Swamp wallaby,15.182,4.42,30.012,"208,110,000","1,200,000,000","1,440,000,000",12066,,
Red-legged seriema,4.546,1.109,8.514,"219,569,000","529,815,000","855,128,000",1732.3,,
Western marsh harrier,2.824,0.661,5.234,"224,467,000","352,456,000","687,877,000",478.5,,
Common starling,1.144,0.193,1.855,"226,000,000","193,000,000","482,505,000",74,,
Northern greater galago,6.29,1.196,10.15,"226,090,000","743,500,000","936,000,000",1300,,
Northern goshawk,3.931,1.186,7.568,"228,227,000","472,933,000","813,468,000",800.6,,
Common kestrel,1.88,0.5032,3.476,"237,903,000","312,406,000","624,582,000",204.33,,
Raccoon dog,15.53,3.26,28.11,"240,180,000","844,740,000","1,160,000,000",8545,,
Common marmoset,5.561,0.73,7.78,"244,720,000","361,370,000","635,800,000",255.2,,
Muscovy duck,4.235,0.768,7.076,"248,163,000","211,760,000","520,116,000",2009.3,,
House cat,24.176,5.11,34.858,"249,830,000","942,900,000","1,215,000,000",3900,,
Brown bear,222,45.106,315.004,"250,970,000","9,253,000,000","9,585,000,000",277500,,
Elliot's woodpecker,1.116,0.179,1.763,"251,272,000","153,240,000","448,500,000",37.5,,
Bennett's wallaby,16.102,3.572,26.994,"256,780,000","1,020,000,000","1,320,000,000",11110,,
Cockatiel,1.368,0.196,2.205,"258,000,000","129,000,000","452,766,000",90,,
Greylag goose,6.71,1.226,10.829,"258,650,000","420,729,000","735,359,000",2943.93,,
Goodfellow's tree-kangaroo,19.57,4.236,31.548,"273,430,000","1,240,000,000","1,550,000,000",13608,,
Steppe eagle,7.15,1.697,12.279,"288,470,000","682,506,000","1,106,000,000",3350,,
Black kite,3.715,0.876,6.622,"301,980,000","426,176,000","825,990,000",835.7,,
Capybara,48.175,6.632,74.734,"306,500,000","1,157,000,000","1,572,000,000",55000,,
Domestic pig,42.404,8.128,64.18,"307,082,000","1,858,000,000","2,224,000,000",130000,,
Great spotted woodpecker,1.709,0.317,2.801,"311,887,000","241,920,000","637,950,000",77.9,,
