Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m
Red fox,24.41,4.823,41.94,"355,010,000","1,640,000,000","2,110,000,000",5490
Eurasian pygmy owl,2.21,0.228,3.02,"364,000,000","127,650,000","533,263,000",67.2
Western grey kangaroo,40.194,7.358,62.724,"370,170,000","1,990,000,000","2,460,000,000",25855
Canada goose,6.315,1.181,9.832,"379,833,000","440,299,000","913,484,000",4219.167
Swan goose,6.3,1.218,10.045,"381,096,000","445,189,000","917,876,000",4002.9
Eurasian scops owl,1.193,0.203,1.896,"385,088,000","133,901,000","570,997,000",114.09
Golden jackal,34.88,4.97,55.6,"393,620,000","1,218,000,000","1,730,000,000",9200
Monk parakeet,2.24,0.281,3.42,"396,000,000","195,000,000","696,765,000",81.7
Peregrine falcon,3.787,1.062,6.776,"396,060,000","548,548,000","1,060,000,000",672.8
Springbok,68.806,11.458,106.074,"396,900,000","2,257,000,000","2,724,000,000",39000
Black vulture,5.93,1.3985,9.967,"398,899,000","512,097,000","1,009,000,000",1747
Azure-winged magpie,2.218,0.271,3.393,"399,695,000","243,490,000","740,589,000",84.11
Little owl,2.99,0.3585,4.259,"400,822,000","134,013,000","585,923,000",169.56
Common hill myna,2.161,0.367,3.67,"410,330,000","365,738,000","906,127,000",262.075
Barn owl,3.852,0.51,5.209,"437,000,000","214,000,000","739,740,000",580
Raccoon,24.491,3.338,34.186,"437,940,000","1,646,000,000","2,148,000,000",6000
Emu,12.979,3.399,21.811,"439,000,000","814,000,000","1,335,000,000",38925
West highland white terrier (dog),46.56,7.342,76.7,"440,160,000","2,187,000,000","2,830,000,000",9400
Three-striped night monkey,10.617,1.732,15.73,"441,900,000","1,040,000,000","1,468,000,000",800
Saker falcon,4.12,1.1971,7.315,"442,946,000","645,740,000","1,204,000,000",1006
Eurasian magpie,3.714,0.453,5.425,"443,000,000","349,000,000","897,274,000",178
Chow chow (dog),39.74,7.82,69.2,"471,500,000","1,969,000,000","2,610,000,000",26000
Common ostrich,25.58,5.8009,40.249,"479,410,000","1,059,572,000","1,629,000,000",120050
Western jackdaw,4.165,0.483,6.023,"492,000,000","375,000,000","967,985,000",246
Striped hyena,67.45,14.032,99.214,"495,280,000","3,330,000,000","3,885,000,000",40000
Chihuahua (dog),32.48,5.06,52.1,"513,330,000","1,819,000,000","2,510,000,000",4000
Domestic dog,65.491,7.512,86.462,"527,910,000","1,676,000,000","2,252,000,000",19700
Eurasian jay,2.854,0.411,4.597,"529,000,000","429,000,000","1,085,000,000",159.7
White-tailed eagle,12.54,2.3578,19.515,"542,926,000","983,667,000","1,654,000,000",5228.2
Lion,139.902,24.882,198.946,"545,240,000","4,049,000,000","4,667,000,000",175000
Blesbok,111.31,13.402,154.718,"570,670,000","2,401,000,000","3,058,000,000",84500
Yorkshire terrier (dog),38.74,6.063,61.7,"572,140,000","1,811,000,000","2,640,000,000",7600
Alexandrine parakeet,3.657,0.506,5.699,"575,000,000","361,000,000","1,096,000,000",255
Tanimbar corella,5.502,0.571,8.275,"599,000,000","413,000,000","1,161,000,000",275
Striated caracara,6.847,1.136,10.609,"663,372,000","592,281,000","1,411,000,000",1426.6
Boreal owl,2.902,0.349,4.084,"663,908,000","206,170,000","925,101,000",113.12
Long-eared owl,3.84,0.4746,5.445,"673,000,000","261,386,000","991,310,000",248.06
Transylvanian hound (dog),81.3,11.189,124.3,"725,760,000","3,413,000,000","4,390,000,000",31500
Greater kudu,213.37,31.776,306.86,"762,000,000","4,042,000,000","4,911,000,000",217500
Long-tailed macaque,36.226,5.642,46.162,"800,960,000","2,572,000,000","3,439,000,000",6363
Rook,5.769,0.657,8.357,"820,000,000","536,000,000","1,509,000,000",453.5
Morepork,3.846,0.515,5.535,"823,855,000","280,175,000","1,171,000,000",274.9
Beagle (dog),53.11,10.938,88,"844,410,000","3,222,000,000","4,330,000,000",12300
Grey parrot,5.941,0.638,8.827,"850,000,000","387,000,000","1,566,000,000",333
Komondor (dog),97.75,15.752,149.3,"883,380,000","2,912,000,000","3,990,000,000",48400
German shepherd (dog),70.37,9.752,109,"885,460,000","2,454,000,000","3,530,000,000",44400
Sulphur-crested cockatoo,6.767,0.836,10.131,"1,135,000,000","588,000,000","2,122,000,000",800
Brown capuchin,39.178,4.6,52.208,"1,140,000,000","2,490,000,000","3,690,000,000",2643
Tawny owl,6.49,0.6228,8.853,"1,153,000,000","334,017,000","1,581,000,000",549.67
Raven,10.195,1.145,14.135,"1,204,000,000","753,000,000","2,171,000,000",1041
Snowy owl,13.48,1.2854,17.752,"1,270,000,000","452,880,000","1,808,000,000",1770
Kea,9.483,0.825,13.592,"1,281,000,000","481,000,000","2,149,000,000",867.5
Northern hawk-owl,5.311,0.554,7.353,"1,308,000,000","299,621,000","1,710,000,000",300.4
Eurasian eagle-owl,11.72,1.2078,15.766,"1,328,000,000","471,871,000","1,898,000,000",2342.33
Common squirrel monkey,20.652,4.3,30.216,"1,340,000,000","1,820,000,000","3,246,000,000",925
Bonnet macaque,48.274,5.748,61.47,"1,655,000,000","2,038,000,000","3,755,000,000",6755
Great grey owl,10.969,1.025,14.37,"1,700,000,000","495,827,000","2,299,000,000",1013.3
Rhesus macaque,69.832,7.694,87.346,"1,710,000,000","4,550,000,000","6,376,000,000",8235
Giraffe,398.808,67.73,537.218,"1,731,000,000","8,878,000,000","10,751,000,000",800000
Blue and yellow macaw,14.377,1.245,20.73,"1,916,000,000","633,000,000","3,136,000,000",1030
Harbour porpoise,382.77,106.14,563.53,"2,770,000,000","23,400,000,000","26,300,000,000",52500
Yellow baboon,120.214,13.745,151.194,"2,875,000,000","7,794,000,000","10,948,000,000",20000
Common minke whale,2037.024,415.918,2715.9,"3,134,000,000","54,216,000,000","57,472,000,000",7500000
African elephant,2847,1171,4618,"5,593,000,000","250,700,000,000","257,040,000,000",4800000
Short-finned pilot whale,1835.9,377.442,2462.5,"11,850,000,000","114,917,000,000","127,573,000,000",2200000
Human,1232,154.02,1508,"16,340,000,000","69,030,000,000","86,000,000,000",62035
