,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m,Forebrain m/Rest m,Cerebellum m/Rest m,Forebrain m/Cerebellum m
61,Domestic pig,Artiodactyla,Suidae,42.404,8.128,64.18,307082000.0,1858000000.0,2224000000.0,130000.0,66.07042692427547,12.664381427235899,13.807643884892087,83.5431654676259,7241.816809734931,228592.51968503938,34652.53973200374,0.03261846153846154,0.006252307692307692,0.04936923076923077,2362.1692307692306,14292.307692307691,17107.69230769231,3.1069753810082057,0.5955451348182883,5.2170275590551185
62,Red fox,Carnivora,Canidae,24.41,4.823,41.94,355010000.0,1640000000.0,2110000000.0,5490.0,58.202193609918936,11.499761564139249,16.82511848341232,77.72511848341233,14543.62965997542,340037.32116939663,50309.966618979495,0.44462659380692166,0.08785063752276867,0.7639344262295081,64664.8451730419,298724.95446265937,384335.1548269581,1.9209884315731491,0.3795545762178328,5.061165249844494
63,Western grey kangaroo,Diprotodontia,Macropodidae,40.194,7.358,62.724,370170000.0,1990000000.0,2460000000.0,25855.0,64.08073464702507,11.730756967030164,15.047560975609755,80.89430894308943,9209.583519928348,270453.92769774393,39219.43753587144,0.15545929220653645,0.028458712047959776,0.24259911042351576,14317.153355250435,76967.70450589828,95146.00657513054,2.6492222515159516,0.4849723174268391,5.462625713509106
64,Golden jackal,Carnivora,Canidae,34.88,4.97,55.6,393620000.0,1218000000.0,1730000000.0,9200.0,62.73381294964029,8.93884892086331,22.752601156069364,70.40462427745665,11284.977064220184,245070.42253521126,31115.107913669064,0.3791304347826087,0.05402173913043478,0.6043478260869565,42784.782608695656,132391.30434782608,188043.47826086957,2.214603174603175,0.31555555555555553,7.0181086519114695
65,Springbok,Artiodactyla,Bovidae,68.806,11.458,106.074,396900000.0,2257000000.0,2724000000.0,39000.0,64.86603691762355,10.801893018081717,14.570484581497798,82.85609397944201,5768.392291369939,196980.27578984117,25680.18553085582,0.17642564102564104,0.02937948717948718,0.2719846153846154,10176.923076923076,57871.794871794875,69846.15384615384,2.665865943432778,0.44393645873692367,6.005061965438994
66,Raccoon,Carnivora,Procyonidae,24.491,3.338,34.186,437940000.0,1646000000.0,2148000000.0,6000.0,71.64043760603755,9.764230971742819,20.38826815642458,76.6294227188082,17881.670817851456,493109.64649490715,62832.738547943605,0.40818333333333334,0.05563333333333334,0.5697666666666666,72990.0,274333.3333333333,358000.0,3.8526034292905456,0.5250904514708196,7.337028160575194
67,West highland white terrier (dog),Carnivora,Canidae,46.56,7.342,76.7,440160000.0,2187000000.0,2830000000.0,9400.0,60.70404172099087,9.572359843546284,15.553356890459364,77.27915194346289,9453.60824742268,297875.23835467175,36897.00130378096,0.49531914893617024,0.0781063829787234,0.8159574468085107,46825.53191489362,232659.5744680851,301063.829787234,2.042284410913238,0.32204579349065704,6.341596295287388
68,Three-striped night monkey,Primates,Aotidae,10.617,1.732,15.73,441900000.0,1040000000.0,1468000000.0,800.0,67.49523204068659,11.010807374443738,30.10217983651226,70.84468664850137,41621.9270980503,600461.8937644341,93324.8569612206,1.327125,0.21649999999999997,1.96625,552375.0,1300000.0,1835000.0,3.1401952085181906,0.5122744750073943,6.1299076212471135
69,Chow chow (dog),Carnivora,Canidae,39.74,7.82,69.2,471500000.0,1969000000.0,2610000000.0,26000.0,57.42774566473988,11.300578034682081,18.06513409961686,75.44061302681993,11864.620030196276,251790.28132992328,37716.76300578035,0.15284615384615385,0.030076923076923077,0.2661538461538462,18134.615384615383,75730.76923076923,100384.61538461539,1.8364140480591498,0.3613678373382625,5.081841432225064
70,Striped hyena,Carnivora,Hyaenidae,67.45,14.032,99.214,495280000.0,3330000000.0,3885000000.0,40000.0,67.98435704638459,14.143165279093676,12.748519948519949,85.71428571428571,7342.920681986657,237314.70923603192,39157.78015199468,0.168625,0.03508,0.248035,12382.0,83250.0,97125.0,3.803857432889692,0.7913376945635012,4.806870011402509
71,Chihuahua (dog),Carnivora,Canidae,32.48,5.06,52.1,513330000.0,1819000000.0,2510000000.0,4000.0,62.34165067178502,9.712092130518233,20.451394422310756,72.47011952191235,15804.495073891627,359486.16600790515,48176.58349328215,0.8119999999999998,0.12649999999999997,1.3025,128332.5,454750.0,627500.0,2.2307692307692295,0.34752747252747235,6.4189723320158105
72,Domestic dog,Carnivora,Canidae,65.491,7.512,86.462,527910000.0,1676000000.0,2252000000.0,19700.0,75.74541417038698,8.688209849413614,23.44182948490231,74.42273534635879,8060.80224763708,223109.69116080937,26046.12430894497,0.3324416243654822,0.038131979695431466,0.4388934010152284,26797.46192893401,85076.1421319797,114314.72081218274,4.865963295935804,0.5581395348837208,8.71818423855165
73,Lion,Carnivora,Felidae,139.902,24.882,198.946,545240000.0,4049000000.0,4667000000.0,175000.0,70.32159480462035,12.506911423200268,11.682879794300408,86.75808870794943,3897.299538248202,162728.07652117996,23458.62696410081,0.07994399999999999,0.014218285714285715,0.11368342857142857,3115.657142857143,23137.14285714286,26668.571428571428,4.095252034424213,0.728353140916808,5.622618760549794
74,Blesbok,Artiodactyla,Bovidae,111.31,13.402,154.718,570670000.0,2401000000.0,3058000000.0,84500.0,71.94379451647515,8.662211248852751,18.661543492478742,78.51536952256377,5126.852933249484,179152.36531860917,19764.99179151747,0.13172781065088757,0.0158603550295858,0.183098224852071,6753.491124260355,28414.201183431953,36189.34911242603,3.709591415050325,0.44664400453242703,8.305476794508284
75,Yorkshire terrier (dog),Carnivora,Canidae,38.74,6.063,61.7,572140000.0,1811000000.0,2640000000.0,7600.0,62.78768233387358,9.826580226904374,21.671969696969697,68.59848484848486,14768.71450696954,298697.0146792017,42787.682333873585,0.5097368421052632,0.07977631578947368,0.8118421052631578,75281.57894736843,238289.47368421053,347368.4210526316,2.2927146830798364,0.35882109250162747,6.389576117433615
76,Transylvanian hound (dog),Carnivora,Canidae,81.3,11.189,124.3,725760000.0,3413000000.0,4390000000.0,31500.0,65.40627514078842,9.001609010458568,16.532118451025056,77.74487471526196,8926.937269372695,305031.72758959694,35317.77956556718,0.2580952380952381,0.035520634920634925,0.3946031746031746,23040.0,108349.20634920635,139365.07936507938,2.555719719593851,0.35173367702995817,7.266064885155063
77,Greater kudu,Artiodactyla,Bovidae,213.37,31.776,306.86,762000000.0,4042000000.0,4911000000.0,217500.0,69.53333767842012,10.355210845336634,15.516188149053145,82.30502952555487,3571.2611894830575,127202.92044310171,16004.04093071759,0.09810114942528736,0.014609655172413794,0.14108505747126437,3503.448275862069,18583.908045977012,22579.310344827587,3.4574002657419705,0.5148912726447806,6.714816213494461
78,Long-tailed macaque,Primates,Cercopithecidae,36.226,5.642,46.162,800960000.0,2572000000.0,3439000000.0,6363.0,78.47580260820588,12.222174082578745,23.290491421924976,74.7891829020064,22110.08667807652,455866.7139312301,74498.50526407002,0.5693226465503692,0.08866886688668868,0.7254754046833255,125877.73063020587,404211.84975640423,540468.3325475404,8.43642291569632,1.313926408942711,6.420772775611485
79,Beagle (dog),Carnivora,Canidae,53.11,10.938,88.0,844410000.0,3222000000.0,4330000000.0,12300.0,60.35227272727273,12.429545454545456,19.5013856812933,74.41108545034642,15899.265675014121,294569.3911135491,49204.545454545456,0.43178861788617884,0.08892682926829268,0.7154471544715447,68651.21951219512,261951.21951219512,352032.52032520325,2.2173513694054776,0.45666332665330667,4.8555494605960865
80,Komondor (dog),Carnivora,Canidae,97.75,15.752,149.3,883380000.0,2912000000.0,3990000000.0,48400.0,65.47220361687877,10.550569323509713,22.13984962406015,72.98245614035088,9037.135549872122,184865.41391569324,26724.715338245143,0.20196280991735538,0.03254545454545455,0.3084710743801653,18251.652892561982,60165.289256198346,82438.01652892563,2.7305994748309956,0.44002458237890374,6.205561198577958
81,German shepherd (dog),Carnivora,Canidae,70.37,9.752,109.0,885460000.0,2454000000.0,3530000000.0,44400.0,64.55963302752295,8.946788990825688,25.083852691218127,69.51841359773371,12582.91885746767,251640.68908941754,32385.32110091743,0.158490990990991,0.021963963963963967,0.2454954954954955,19942.792792792792,55270.27027027027,79504.50450450451,2.4368031027079446,0.33769651637925074,7.215955701394586
82,Brown capuchin,Primates,Cebidae,39.178,4.6,52.208,1140000000.0,2490000000.0,3690000000.0,2643.0,75.04213913576463,8.810910205332515,30.89430894308943,67.47967479674797,29097.963142580018,541304.3478260869,70678.823168863,1.482330684827847,0.1740446462353386,1.9753310631857737,431328.036322361,942111.23723042,1396140.7491486946,4.6474495848161315,0.5456702253855278,8.51695652173913
83,Common squirrel monkey,Primates,Cebidae,20.652,4.3,30.216,1340000000.0,1820000000.0,3246000000.0,925.0,68.34789515488482,14.230871061689172,41.281577325939615,56.06900800985829,64884.75692426883,423255.81395348837,107426.52899126291,2.2326486486486488,0.4648648648648649,3.266594594594595,1448648.6486486488,1967567.5675675676,3509189.189189189,3.9232522796352582,0.8168693009118541,4.8027906976744195
84,Bonnet macaque,Primates,Cercopithecidae,48.274,5.748,61.47,1655000000.0,2038000000.0,3755000000.0,6755.0,78.53261753700993,9.350902879453391,44.0745672436751,54.27430093209055,34283.465219372745,354558.1071677105,61086.70896372214,0.714641006661732,0.08509252405625463,0.9099925980754996,245003.70096225018,301702.44263508514,555884.5299777943,6.481471535982816,0.7717508055853923,8.398399443284621
85,Rhesus macaque,Primates,Cercopithecidae,69.832,7.694,87.346,1710000000.0,4550000000.0,6376000000.0,8235.0,79.94870972912325,8.808646074233508,26.819322459222082,71.36135508155583,24487.341047084432,591369.898622303,72997.04622993611,0.8479902853673345,0.09343047965998785,1.0606678809957497,207650.27322404372,552519.7328476018,774256.2234365513,7.111201629327893,0.7835030549898159,9.0761632440863
86,Giraffe,Artiodactyla,Giraffidae,398.808,67.73,537.218,1731000000.0,8878000000.0,10751000000.0,800000.0,74.23578510027588,12.607544795595086,16.100827829969305,82.57836480327411,4340.434494794487,131079.28539790344,20012.359973046325,0.049851,0.00846625,0.06715225,2163.75,11097.5,13438.75,5.642444821731751,0.9582625919637809,5.888203159604311
87,Harbour porpoise,Artiodactyla,Phocoenidae,382.77,106.14,563.53,2770000000.0,23400000000.0,26300000000.0,52500.0,67.92362429684312,18.83484464003691,10.532319391634982,88.97338403041825,7236.7217911539565,220463.53872244206,46670.097421610204,0.7290857142857142,0.20217142857142856,1.0733904761904762,52761.90476190476,445714.28571428574,500952.38095238095,5.129589922272849,1.422406861431252,3.6062747314867156
88,Yellow baboon,Primates,Cercopithecidae,120.214,13.745,151.194,2875000000.0,7794000000.0,10948000000.0,20000.0,79.50976890617353,9.090969218355225,26.260504201680675,71.19108512970406,23915.683697406294,567042.5609312478,72410.28083124991,0.60107,0.068725,0.7559699999999999,143750.0,389700.0,547400.0,6.97499274731651,0.7975050768784453,8.746016733357585
89,Common minke whale,Artiodactyla,Balaenopteridae,2037.024,415.918,2715.9,3134000000.0,54216000000.0,57472000000.0,7500000.0,75.00364520048602,15.314186825729962,5.453090200445435,94.33463251670379,1538.5189374302904,130352.61758327362,21161.309326558414,0.027160319999999998,0.005545573333333333,0.036212,417.8666666666667,7228.8,7662.933333333333,7.746575498748843,1.5816898516112827,4.8976577113758
90,African elephant,Proboscidea,Elephantidae,2847.0,1171.0,4618.0,5593000000.0,250700000000.0,257040000000.0,4800000.0,61.650064963187525,25.357297531398874,2.175925925925926,97.53345782757548,1964.5240604144715,214090.52092228865,55660.45907319186,0.059312500000000004,0.024395833333333332,0.09620833333333334,1165.2083333333333,52229.166666666664,53550.0,4.745,1.9516666666666667,2.431255337318531
91,Short-finned pilot whale,Artiodactyla,Delphinidae,1835.9,377.442,2462.5,11850000000.0,114917000000.0,127573000000.0,2200000.0,74.55431472081219,15.327593908629442,9.288799354095302,90.07940551684133,6454.599923743123,304462.6724105955,51806.294416243654,0.08345000000000001,0.017156454545454548,0.11193181818181819,5386.363636363636,52235.0,57987.72727272727,7.368416827876291,1.5148700824376506,4.864058583835398
92,Human,Primates,Hominidae,1232.0,154.02,1508.0,16340000000.0,69030000000.0,86060000000.0,62035.0,81.6976127320955,10.213527851458887,18.98675342784104,80.21148036253777,13262.987012987012,448188.5469419556,57068.96551724138,1.9859756589022326,0.24827919722737166,2.4308857902796808,263399.69372128637,1112758.926412509,1387281.3734182317,10.100016396130513,1.2626660108214462,7.998961173873522
