,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m,Forebrain m/Rest m,Cerebellum m/Rest m,Forebrain m/Cerebellum m
15,House mouse,Rodentia,Muridae,0.173,0.056,0.402,13690000.0,42220000.0,67870000.0,20.5,43.034825870646756,13.930348258706468,20.170914984529247,62.20716074848976,79132.94797687861,753928.5714285715,168830.8457711443,0.8439024390243901,0.2731707317073171,1.9609756097560975,667804.8780487805,2059512.1951219512,3310731.7073170734,0.9999999999999997,0.32369942196531787,3.089285714285714
16,Hairy-tailed mole,Eulipotyphla,Talpidae,0.429,0.102,0.759,15690000.0,100780000.0,123600000.0,62.5,56.52173913043478,13.438735177865613,12.694174757281553,81.53721682847896,36573.42657342657,988039.2156862745,162845.84980237155,0.6864,0.1632,1.2144,251040.0,1612480.0,1977600.0,1.8815789473684208,0.44736842105263147,4.205882352941177
17,Golden hamster,Rodentia,Cricetidae,0.446,0.145,0.965,17140000.0,61210000.0,84220000.0,105.0,46.21761658031088,15.025906735751295,20.35146046069817,72.67869864640228,38430.4932735426,422137.9310344828,87274.61139896372,0.4247619047619048,0.1380952380952381,0.919047619047619,163238.09523809524,582952.380952381,802095.2380952381,1.1925133689839575,0.3877005347593584,3.0758620689655176
18,Star-nosed mole,Eulipotyphla,Talpidae,0.42,0.138,0.802,17250000.0,105920000.0,131300000.0,55.3,52.36907730673316,17.206982543640898,13.137852246763138,80.67022086824068,41071.42857142857,767536.231884058,163715.71072319202,0.7594936708860759,0.24954792043399643,1.4502712477396023,311934.9005424955,1915370.705244123,2374321.880650995,1.7213114754098358,0.5655737704918032,3.043478260869565
19,Cryptomys Natalensis,Rodentia,Bathyergidae,0.333,0.181,1.24,17460000.0,109750000.0,149980000.0,99.02,26.85483870967742,14.596774193548386,11.64155220696093,73.1764235231364,52432.43243243243,606353.591160221,120951.6129032258,0.3362956978388205,0.18279135528176127,1.2522722682286407,176328.01454251667,1108361.9470813978,1514643.5063623511,0.45867768595041325,0.2493112947658402,1.839779005524862
20,Brown four-eyed opossum,Didelphimorphia,Didelphidae,0.992,0.342,2.008,20190000.0,134130000.0,165590000.0,407.0,49.40239043824701,17.03187250996016,12.192765263602874,81.0012681925237,20352.822580645163,392192.98245614034,82465.13944223107,0.24373464373464374,0.08402948402948403,0.4933660933660934,49606.87960687961,329557.7395577396,406855.03685503686,1.4718100890207717,0.5074183976261128,2.9005847953216373
21,Grey slender mouse opossum,Didelphimorphia,Didelphidae,0.408,0.158,0.91,20410000.0,82400000.0,112050000.0,100.0,44.83516483516483,17.36263736263736,18.215082552431948,73.53859883980365,50024.509803921566,521518.9873417721,123131.86813186813,0.4079999999999999,0.158,0.91,204100.0,824000.0,1120500.0,1.186046511627907,0.4593023255813954,2.5822784810126582
22,Highveld mole-rat,Rodentia,Bathyergidae,0.326,0.195,1.35,20560000.0,120580000.0,169160000.0,104.27,24.148148148148145,14.444444444444443,12.154173563490186,71.28162686214236,63067.48466257669,618358.9743589744,125303.70370370371,0.31264985134746337,0.18701448163421888,1.2947156420830537,197180.39704613024,1156420.8305361082,1622326.6519612544,0.3932448733413752,0.23522316043425817,1.6717948717948719
23,Damaraland mole-rat,Rodentia,Bathyergidae,0.322,0.208,1.39,21270000.0,129960000.0,178300000.0,110.53,23.165467625899282,14.964028776978417,11.929332585530005,72.88839035333707,66055.90062111801,624807.6923076923,128273.38129496403,0.29132362254591515,0.1881842033836967,1.2575771283814348,192436.44259477066,1175789.3784492898,1613136.7049669772,0.37441860465116283,0.2418604651162791,1.5480769230769231
24,Hottentot golden mole,Afrosoricida,Chrysochloridae,0.439,0.084,0.812,21516000.0,34488000.0,65074000.0,79.0,54.06403940886699,10.344827586206897,33.06389648707625,52.99812521129791,49011.38952164009,410571.4285714286,80140.39408866996,0.5556962025316456,0.10632911392405063,1.027848101265823,272354.43037974683,436556.96202531643,823721.5189873418,1.5190311418685118,0.29065743944636674,5.226190476190476
25,Grey mouse lemur,Primates,Cheirogaleidae,0.908,0.391,1.799,22310000.0,221380000.0,254710000.0,64.8,50.47248471372985,21.734296831573097,8.758980801696046,86.91453025008833,24570.484581497796,566189.2583120205,141584.21345191772,1.4012345679012348,0.6033950617283951,2.7762345679012346,344290.1234567901,3416358.024691358,3930709.87654321,1.8160000000000005,0.7820000000000003,2.3222506393861893
26,Franquet's epauletted fruit bat,Chiroptera,Pteropodidae,1.04,0.286,2.044,22533000.0,150660000.0,186002000.0,120.0,50.88062622309197,13.992172211350292,12.114385866818637,80.9991290416232,21666.346153846152,526783.2167832168,90999.02152641879,0.8666666666666666,0.2383333333333333,1.7033333333333334,187775.0,1255500.0,1550016.6666666667,1.4484679665738163,0.3983286908077994,3.6363636363636367
27,Mechow's mole-rat,Rodentia,Bathyergidae,0.65,0.405,2.15,23320000.0,122640000.0,174240000.0,270.16,30.232558139534888,18.837209302325583,13.383838383838384,70.38567493112947,35876.92307692308,302814.81481481483,81041.86046511628,0.24059816405093276,0.14991116375481195,0.7958246964761622,86319.21824104234,453953.2129108676,644951.1400651465,0.5936073059360731,0.36986301369863017,1.6049382716049383
28,Hammer-headed bat,Chiroptera,Pteropodidae,1.805,0.456,3.459,24343000.0,221298000.0,274519000.0,310.0,52.18271176640648,13.183000867302688,8.867510081269419,80.61299946451794,13486.426592797783,485302.63157894736,79363.68892743568,0.5822580645161289,0.14709677419354839,1.1158064516129031,78525.80645161291,713864.5161290322,885545.1612903225,1.5066777963272118,0.3806343906510851,3.958333333333333
29,Silvery mole-rat,Rodentia,Bathyergidae,0.473,0.223,1.65,25440000.0,94820000.0,147940000.0,180.51,28.666666666666668,13.515151515151516,17.196160605650938,64.09355143977288,53784.35517970402,425201.7937219731,89660.60606060606,0.2620353443022547,0.12353886211290234,0.9140767824497258,140934.020275885,525289.4576477758,819566.7830037117,0.4958071278825995,0.23375262054507337,2.121076233183856
