,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
18,Common wood pigeon,Columbiformes,Columbidae,1.28,0.4016,2.671,51325000.0,164834000.0,258681000.0,468.33,47.92212654436541,15.035567203294647,19.841039736200187,63.72095360695219,40097.65625,410443.2270916334,96847.9970048671,0.2733115538188884,0.08575150001067623,0.5703243439455085,109591.52734183162,351961.22392330196,552347.703542374
19,Elegant crested tinamou,Struthioniformes,Tinamidae,1.0,0.2734,1.996,51384000.0,129548000.0,217768000.0,502.95,50.1002004008016,13.697394789579157,23.595753278718636,59.48899746519232,51384.0,473840.5267008047,109102.20440881763,0.19882692116512576,0.05435928024654538,0.396858534645591,102165.22517148821,257576.29983099713,432981.4096828711
20,Eurasian blackcap,Passeriformes,Sylviidae,0.454,0.084,0.774,52000000.0,76000000.0,156728000.0,16.7,58.656330749354005,10.852713178294573,33.178500331785,48.491654331070386,114537.4449339207,904761.9047619047,202490.95607235143,2.7185628742514973,0.502994011976048,4.634730538922156,3113772.4550898205,4550898.2035928145,9384910.17964072
21,California quail,Galliformes,Odontophoridae,0.607,0.194,1.256,52490000.0,92319000.0,172388000.0,199.6,48.328025477707,15.445859872611464,30.448755133768014,53.55303153351741,86474.46457990115,475871.13402061857,137251.5923566879,0.30410821643286573,0.09719438877755511,0.6292585170340681,262975.95190380764,462520.0400801603,863667.3346693387
22,Speckled pigeon,Columbiformes,Columbidae,0.897,0.316,1.944,53884000.0,161142000.0,258217000.0,262.94,46.141975308641975,16.255144032921812,20.867719786071408,62.405651060929365,60071.348940914155,509943.03797468357,132827.67489711934,0.3411424659618164,0.12017950863314825,0.7393321670343044,204928.88111356203,612847.0373469233,982037.7272381532
23,Tetrao tetrix,Galliformes,Phasianidae,1.562,0.48,3.375,54079000.0,176651000.0,280868000.0,897.8,46.281481481481485,14.222222222222221,19.25424042610764,62.894669382058474,34621.63892445582,368022.9166666667,83220.14814814815,0.17398084205836492,0.053464023167743374,0.3759189128981956,60235.01893517488,196759.85742927156,312840.2762307864
24,Black francolin,Galliformes,Phasianidae,0.825,0.224,1.755,54209000.0,139932000.0,232541000.0,368.6,47.008547008547005,12.763532763532764,23.31158806404032,60.175194911865006,65707.87878787878,624696.4285714285,132501.9943019943,0.22381985892566464,0.06077048290830168,0.4761258817145957,147067.28160607704,379631.036353771,630876.2886597938
25,Zebra finch,Passeriformes,Estrildidae,0.277,0.056,0.494,55000000.0,56000000.0,135976000.0,12.0,56.07287449392713,11.336032388663968,40.44831440842502,41.18373830676001,198555.95667870037,1000000.0,275255.06072874495,2.3083333333333336,0.46666666666666673,4.116666666666666,4583333.333333333,4666666.666666667,11331333.333333334
26,Black-naped fruit dove,Columbiformes,Columbidae,0.692,0.203,1.447,55673000.0,115880000.0,205810000.0,99.55,47.82308223911541,14.029025570145128,27.05067780963024,56.30435838880521,80452.31213872832,570837.4384236453,142232.20456116102,0.695128076343546,0.203917629331994,1.4535409342039178,559246.6097438473,1164038.1717729785,2067403.3149171271
27,Chilean tinamou,Struthioniformes,Tinamidae,0.82,0.2376,1.744,59130000.0,136461000.0,241374000.0,388.7,47.01834862385321,13.623853211009173,24.49725322528524,56.53508662904869,72109.75609756098,574330.8080808081,138402.52293577982,0.21095960895291996,0.061126833033187555,0.4486750707486493,152122.45948031903,351070.2341137124,620977.6177000258
28,Luzon bleeding-heart,Columbiformes,Columbidae,0.688,0.221,1.569,59161000.0,134425000.0,236600000.0,199.2,43.849585723390696,14.085404716379859,25.00464919695689,56.815300084530854,85989.82558139534,608257.9185520362,150796.68578712555,0.34538152610441764,0.11094377510040161,0.7876506024096387,296992.9718875502,674824.297188755,1187751.0040160643
